GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Functionals by annotation in Java/example-functional,com.dan323.functional.data.util.alternative,AlternativeFuns,55,0,0,0,4,0,9,0,9,0
Functionals by annotation in Java/example-functional,com.dan323.functional.data.util.alternative,AlternativeMonoid,0,16,0,0,0,5,0,3,0,3
Functionals by annotation in Java/example-functional,com.dan323.functional.data.integer,ProdMonoid,0,17,0,0,0,4,0,4,0,4
Functionals by annotation in Java/example-functional,com.dan323.functional.data.integer,SumMonoid,0,17,0,0,0,4,0,4,0,4
Functionals by annotation in Java/example-functional,com.dan323.functional.data.parser,Parser.ParserError,14,32,2,2,3,6,5,4,3,4
Functionals by annotation in Java/example-functional,com.dan323.functional.data.parser,Parser,45,66,6,4,5,6,8,7,5,5
Functionals by annotation in Java/example-functional,com.dan323.functional.data.parser,ParserSupplierApplicative,114,0,0,0,12,0,19,0,19,0
Functionals by annotation in Java/example-functional,com.dan323.functional.data.parser,ParserApplicative,23,122,0,0,3,10,5,19,5,19
Functionals by annotation in Java/example-functional,com.dan323.functional.data.state,StackActions.StackError,5,31,2,2,1,6,3,4,1,4
Functionals by annotation in Java/example-functional,com.dan323.functional.data.state,State,0,9,0,0,0,1,0,2,0,2
Functionals by annotation in Java/example-functional,com.dan323.functional.data.state,StateMonad,0,117,0,0,0,17,0,18,0,18
Functionals by annotation in Java/example-functional,com.dan323.functional.data.state,StackActions,62,122,0,0,4,10,11,20,11,20
Functionals by annotation in Java/example-functional,com.dan323.functional.data.state,StateWithError,18,58,0,0,2,5,4,10,4,10
Functionals by annotation in Java/example-functional,com.dan323.functional.data,Void,7,0,0,0,2,0,1,0,1,0
Functionals by annotation in Java/example-functional,com.dan323.functional.data,Unit,7,15,1,1,3,4,4,4,3,4
Functionals by annotation in Java/example-functional,com.dan323.functional.data,IdentityMonad,11,29,0,0,3,5,3,5,3,5
Functionals by annotation in Java/example-functional,com.dan323.functional.data,Identity,0,9,0,0,0,4,0,2,0,2
