GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Functionals by annotation in Java/annotation-definitions,com.dan323.functional.annotation.util,FunctorUtil,6,37,0,0,2,4,1,4,1,4
Functionals by annotation in Java/annotation-definitions,com.dan323.functional.annotation.util,MonadUtil,6,25,0,0,2,4,1,4,1,4
Functionals by annotation in Java/annotation-definitions,com.dan323.functional.annotation.util,FunctionalUtil,300,1096,23,43,28,95,37,79,16,67
Functionals by annotation in Java/annotation-definitions,com.dan323.functional.annotation.util,SemigroupUtil,17,12,0,0,2,3,3,1,3,1
Functionals by annotation in Java/annotation-definitions,com.dan323.functional.annotation.util,ApplicativeUtil,6,65,0,0,2,7,1,8,1,8
Functionals by annotation in Java/annotation-definitions,com.dan323.functional.annotation.util,FoldableUtil,16,31,0,0,2,6,3,4,3,4
Functionals by annotation in Java/annotation-definitions,com.dan323.functional.annotation.util,MonoidUtil,3,10,0,0,1,2,1,2,1,2
Functionals by annotation in Java/annotation-definitions,com.dan323.functional.annotation.util,FunctionalUtil.new IMonoid() {...},9,0,0,0,3,0,3,0,3,0
Functionals by annotation in Java/example-functional,com.dan323.functional.data.function,EndoMonoid,13,0,0,0,4,0,4,0,4,0
Functionals by annotation in Java/example-functional,com.dan323.functional.data.function,FunctionFrom,3,51,0,0,1,6,1,10,1,10
Functionals by annotation in Java/example-functional,com.dan323.functional.data.continuation,Continuation,0,45,0,0,0,4,0,10,0,10
Functionals by annotation in Java/example-functional,com.dan323.functional.data.integer,ProdMonoid,0,18,0,0,0,4,0,4,0,4
Functionals by annotation in Java/example-functional,com.dan323.functional.data.integer,SumMonoid,0,15,0,0,0,3,0,3,0,3
Functionals by annotation in Java/example-functional,com.dan323.functional.data.tree,BTreeFunctor,0,34,0,2,0,5,0,3,0,2
Functionals by annotation in Java/example-functional,com.dan323.functional.data.tree,BinaryNode,17,39,4,4,2,9,5,4,1,4
Functionals by annotation in Java/example-functional,com.dan323.functional.data.tree,Leaf,15,26,3,3,2,8,4,3,1,3
Functionals by annotation in Java/example-functional,com.dan323.functional.data.tree,BinaryTree,0,11,0,0,0,2,0,2,0,2
Functionals by annotation in Java/example-functional,com.dan323.functional.data.pair,ProdFunctional,6,42,0,0,2,12,0,3,0,3
Functionals by annotation in Java/example-functional,com.dan323.functional.data.pair,PairTypeContructor,17,39,4,4,2,9,5,4,1,4
Functionals by annotation in Java/example-functional,com.dan323.functional.data.pair,ProdApplicative,57,0,4,0,5,0,6,0,4,0
Functionals by annotation in Java/example-functional,com.dan323.functional.data.pair,ProdMonad,48,0,0,0,5,0,6,0,6,0
Functionals by annotation in Java/example-functional,com.dan323.functional.data.pair,ProdFunctor,1,43,2,4,0,4,2,4,0,3
Functionals by annotation in Java/example-functional,com.dan323.functional.data.list,Generating,5,34,2,2,0,8,2,4,0,4
Functionals by annotation in Java/example-functional,com.dan323.functional.data.list,Nil,5,17,1,1,2,4,3,4,2,4
Functionals by annotation in Java/example-functional,com.dan323.functional.data.list,JListFunctor,0,11,0,0,0,2,0,2,0,2
Functionals by annotation in Java/example-functional,com.dan323.functional.data.list,Generating.GeneratingMapped,10,33,0,0,1,6,1,4,1,4
Functionals by annotation in Java/example-functional,com.dan323.functional.data.list,FiniteListFunctional,6,52,0,0,2,5,2,7,2,7
